Imagen	Pes	Vta
OPMM_Subasta_2025-05-31_06_00_38.629_Imedea.jpg	003.15	1062
OPMM_Subasta_2025-05-31_06_00_51.329_Imedea.jpg	003.95	1065
OPMM_Subasta_2025-05-31_06_01_28.329_Imedea.jpg	003.35	1074
OPMM_Subasta_2025-05-31_06_01_32.529_Imedea.jpg	003.20	1075
OPMM_Subasta_2025-05-31_06_02_11.829_Imedea.jpg	001.20	1082
OPMM_Subasta_2025-05-31_06_02_19.230_Imedea.jpg	003.70	1083
OPMM_Subasta_2025-05-31_06_14_28.836_Imedea.jpg	003.50	1218
OPMM_Subasta_2025-05-31_06_14_33.136_Imedea.jpg	003.55	1219
OPMM_Subasta_2025-05-31_06_15_29.936_Imedea.jpg	003.95	1228
OPMM_Subasta_2025-05-31_06_15_35.236_Imedea.jpg	004.10	1229
OPMM_Subasta_2025-05-31_06_16_07.036_Imedea.jpg	001.05	1234
OPMM_Subasta_2025-05-31_06_17_13.037_Imedea.jpg	001.35	1244
OPMM_Subasta_2025-05-31_06_19_04.638_Imedea.jpg	002.10	1266
OPMM_Subasta_2025-05-31_06_19_07.838_Imedea.jpg	001.75	1267
OPMM_Subasta_2025-05-31_06_19_09.938_Imedea.jpg	002.50	1268
OPMM_Subasta_2025-05-31_06_19_15.238_Imedea.jpg	002.60	1269
OPMM_Subasta_2025-05-31_06_19_18.338_Imedea.jpg	002.45	1270
OPMM_Subasta_2025-05-31_06_19_20.538_Imedea.jpg	002.70	1271
OPMM_Subasta_2025-05-31_06_19_34.538_Imedea.jpg	002.35	1273
OPMM_Subasta_2025-05-31_06_19_45.138_Imedea.jpg	002.65	1275
OPMM_Subasta_2025-05-31_06_19_53.438_Imedea.jpg	002.70	1277
OPMM_Subasta_2025-05-31_06_20_05.238_Imedea.jpg	002.00	1280
OPMM_Subasta_2025-05-31_06_20_17.738_Imedea.jpg	002.00	1282
OPMM_Subasta_2025-05-31_06_20_21.938_Imedea.jpg	002.80	1283
OPMM_Subasta_2025-05-31_06_20_26.238_Imedea.jpg	002.05	1284
OPMM_Subasta_2025-05-31_06_20_29.338_Imedea.jpg	002.70	1285
OPMM_Subasta_2025-05-31_06_20_34.538_Imedea.jpg	001.75	1286
OPMM_Subasta_2025-05-31_06_20_38.939_Imedea.jpg	002.50	1287
OPMM_Subasta_2025-05-31_06_20_44.139_Imedea.jpg	002.55	1288
OPMM_Subasta_2025-05-31_06_20_51.539_Imedea.jpg	002.55	1289
OPMM_Subasta_2025-05-31_06_20_56.839_Imedea.jpg	002.50	1290
OPMM_Subasta_2025-05-31_06_21_05.339_Imedea.jpg	001.60	1292
